Orden,Familia,Taxa,Ingles,Español,Estatus,
,,Pheugopedius maculipectus,Spot-breasted Wren,Soterrey Pechimoteado,R,
,,Pheugopedius atrogularis,Black-throated Wren,Soterrey Gorginegro,R-END,
,,Thryophilus pleurostictus,Banded Wren,Soterrey de Costillas Barreteadas,R,
,,Thryophilus rufalbus,Rufous-and-white Wren,Soterrey Rufo y Blanco,R,
,,Cantorchilus thoracicus,Stripe-breasted Wren,Soterrey Pechirrayado,R-END,
,,Cantorchilus modestus,Cabanis’s Wren,Soterrey Chinchirigüí (Huevos Blancos),R,
,,Cantorchilus zeledoni,Canebrake Wren,Soterrey de Zeledón ,R-END,
,,Cantorchilus elutus ,Isthmian Wren,Soterrey de Panamá,R-END,
,,Cantorchilus semibadius,Riverside Wren,Soterrey Pechibarreteado,R-END,
,,Cantorchilus nigricapillus,Bay Wren,Soterrey Castaño,R,
,,Henicorhina leucosticta,White-breasted Wood-Wren,Soterrey de Selva Pechiblanco,R,
,,Henicorhina leucophrys,Gray-breasted Wood-Wren,Soterrey de Selva Pechigrís,R,
,,Cyphorhinus phaeocephalus,Song Wren,Soterrey Canoro,R,
,Cinclidae (1),,,,,
,,Cinclus mexicanus,American Dipper,Mirlo Acuático Plomizo,R,
,Mimidae (2),,,,,
,,Dumetella carolinensis,Gray Catbird,Pájaro-gato Gris,M,
,,Mimus gilvus,Tropical Mockingbird,Pájaro-imitador Tropical,R,
,Turdidae (15),,,,,
,,Myadestes melanops,Black-faced Solitaire,Solitario Carinegro (Jilguero),R-END,
,,Catharus gracilirostris,Black-billed Nightingale-Thrush,Zorzal Piquinegro (Cuitiento),R-END,
,,Catharus aurantiirostris,Orange-billed Nightingale-Thrush,"Zorzal Piquianaranjado (Jilguerillo de Charral, Inglesito)",R,
,,Catharus fuscater,Slaty-backed Nightingale-Thrush,"Zorzal Sombrío (Arremedón, Arremendado, Jilguerillo)",R,
,,Catharus frantzii,Ruddy-capped Nightingale-Thrush,"Zorzal Gorrirojizo (Jilguerillo de Montaña, Jilguerillo de Ronda)",R,
,,Catharus mexicanus,Black-headed Nightingale-Thrush,Zorzal Cabecinegro,R,
,,Catharus fuscescens,Veery,Zorzal Dorsirrojizo (Conchita),M,
,,Catharus minimus,Gray-cheeked Thrush,Zorzal Carigrís (Conchita),M,
,,Catharus ustulatus,Swainson's Thrush,Zorzal de Swainson (Conchita),M,
,,Hylocichla mustelina,Wood Thrush,Zorzal del Bosque,M,
,,Turdus plebejus,Mountain Thrush,Mirlo Montañero (Yigüirro de Montaña),R,
,,Turdus obsoletus,Pale-vented Thrush,Mirlo Vientriblanco (Yigüirro de Montaña),R,
,,Turdus assimilis,White-throated Thrush,"Mirlo Gorgiblanco (Yigüirro Collarejo, Yigüirro de Montaña)",R,
,,Turdus grayi,Clay-colored Thrush,Mirlo Pardo (Yigüirro),R,
,,Turdus nigrescens,Sooty Thrush,"Mirlo Negruzco (Yigüirro Escarchero, Escarchado)",R-END,
,Bombycillidae (1),,,,,
,,Bombycilla cedrorum,Cedar Waxwing,Ampelis Americano (Jilguero Chino),M,
,Ptiliogonatidae (2),,,,,
,,Phainoptila melanoxantha,Black-and-yellow Silky-flycatcher,Capulinero Negro y Amarillo (Comemoras),R-END,
,,Ptiliogonys caudatus,Long-tailed Silky-flycatcher,"Capulinero Colilargo (Pitorreal, Timbre, Coronel)",R-END,
,Estrildidae (1),,,,,
,,Lonchura malacca,Tricolored Munia,Monjita Tricolor                                          ,R,
,Passeridae (1),,,,,
,,Passer domesticus,House Sparrow,Gorrión Común (Electricista),R,
,Motacillidae (1),,,,,
,,Anthus rubescens,American Pipit,Bisbita Americana ,A,
,Fringillidae (12),,,,,
,,Chlorophonia elegantissima,Elegant Euphonia,"Clorofonia Capuchiceleste (Agüío, Monjita, Caciquita)",R,
,,Chlorophonia callophrys,Golden-browed Chlorophonia,"Clorofonia Cejidorada (Rualdo, Rey de Rualdo)",R-END,
,,Euphonia affinis,Scrub Euphonia,"Eufonia Gargantinegra (Finito, Agüío, Monjita Fina)",R,
,,Euphonia luteicapilla,Yellow-crowned Euphonia,"Eufonia Coroniamarilla (Monjita, Agüío)",R-END,
,,Euphonia minuta,White-vented Euphonia,"Eufonia Menuda (Finito Canario, Canarito, Canaria, Agüio)",R,
,,Euphonia hirundinacea,Yellow-throated Euphonia,"Eufonia Gorgiamarilla (Agüío, Caciquita)",R,
,,Euphonia laniirostris,Thick-billed Euphonia,Eufonia Piquigruesa (Agüío),R,
,,Euphonia imitans,Spot-crowned Euphonia,Eufonia Vientrirrojiza (Agüío Barranquillo),R-END,
,,Euphonia gouldi,Olive-backed Euphonia,"Eufonia Olivácea (Agüío, Barranquillo, Culo Rojo, Güere)",R,
,,Euphonia anneae,Tawny-capped Euphonia,"Eufonia Gorricanela (Agüío, Barranquilla)",R-END,
,,Spinus psaltria,Lesser Goldfinch,Jilguero Menor (Mozotillo de Charral),R,
,,Spinus xanthogastrus,Yellow-bellied Siskin,Jilguero Vientriamarillo (Mozotillo de Montaña),R,
,Rhodinocichlidae (1),,,,,
,,Rhodinocichla rosea,Rosy Thrush-Tanager,Tangara Pechirrosada (Queo),R,
,Passerellidae (26),,,,,
,,Chlorospingus canigularis,Ashy-throated Chlorospingus,Tangara de Monte Gargantigrís,R,
,,Chlorospingus pileatus,Sooty-capped Chlorospingus,Tangara de Monte Cejiblanca,R-END,
,,Chlorospingus flavopectus,Common Chlorospingus,Tangara de Monte Ojeruda (Cuatro Ojos),R,
,,Peucaea ruficauda,Stripe-headed Sparrow,"Sabanero Cabecilistado (Pájaro Chicle, Albarda Nueva, Ratoncillo)",R,
,,Peucaea botterii,Botteri's Sparrow,Sabanero Pechianteado,R,
,,Ammodramus savannarum,Grasshopper Sparrow,Sabanero Colicorto,"R, M",
,,Arremonops rufivirgatus,Olive Sparrow,Pinzón Aceitunado (Timbón),R,
,,Arremonops conirostris,Black-striped Sparrow,"Pinzón  Cabecilistado (Purisquero, Pájaro Suzuki)",R,
,,Spizella  passerina,Chipping Sparrow,Chimbito Común,A,
,,Spizella pallida,Clay-colored Sparrow,Chingolo Pálido,A,
,,Chondestes grammacus,Lark Sparrow,Sabanero Arlequín,M,
,,Arremon costaricensis,Costa Rican Brushfinch ,Saltón Costarricense ,R-END,
,,Arremon aurantiirostris,Orange-billed Sparrow,"Pinzón Piquinaranja (Pico Chile, Pico Rojo, Pico de Oro)",R,
,,Arremon brunneinucha,Chestnut-capped Brushfinch,Saltón Cabecicastaño,R,
,,Arremon crassirostris,Sooty-faced Finch,Pinzón Barranquero,R-END,
,,Junco vulcani,Volcano Junco,Junco Paramero (Junco Volcanero),R-END,
,,Zonotrichia capensis,Rufous-collared Sparrow,"Chingolo (Comemaíz, Pirrís)",R,
,,Zonotrichia leucophrys,White-crowned Sparrow,Chingolo Coroniblanco,A,
,,Passerculus sandwichensis,Savannah Sparrow,Sabanero Zanjero,A,
,,Melospiza lincolnii,Lincoln's Sparrow,Sabanero de Lincoln,M,
,,Pezopetes capitalis,Large-footed Finch,Saltón Patigrande,R-END,
,,Melozone leucotis,White-eared Ground-Sparrow,"Pinzón Orejiblanco (Cuatro Ojos, Payasito)",R,
,,Melozone cabanisi,Cabanis's Ground-Sparrow,"Pinzón Costarricense (Pinzón Cafetalero, Jupa Roja, Rey de Comemaíz, Mercenario)",R-END,
,,Aimophila rufescens,Rusty Sparrow,Sabanero Rojizo,R,
,,Atlapetes albinucha,White-naped Brushfinch,"Saltón Gargantiamarilla (Comepuntas, Purisco) ",R,
,,Atlapetes tibialis,Yellow-thighed Brushfinch,Saltón de Muslos Amarillos (Calzones Amarillos),R-END,
,Zeledoniidae (1),,,,,
,,Zeledonia coronata,Wrenthrush,Zeledonia,R-END,
,Icteriidae (1),,,,,
,,Icteria virens,Yellow-breasted Chat,Reinita Grande,M,
,Icteridae (24),,,,,
,,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,Tordo Cabecidorado,A,
,,Dolichonyx oryzivorus,Bobolink,Tordo Arrocero,M,
,,Sturnella magna,Eastern Meadowlark,"Zacatero Común (Zacatera, Carmelo) ",R,
,,Leistes militaris,Red-breasted Meadowlark,Tordo Pechirrojo,R,
,,Amblycercus holosericeus,Yellow-billed Cacique,Cacique Picoplata (Pico de Plata),R,
,,Psarocolius decumanus,Crested Oropendola,Oropéndola Crestada ,R,
,,Psarocolius wagleri,Chestnut-headed Oropendola,"Oropéndola Cabecicastaña (Oropéndola, Oropel, Guacalillo)",R,
,,Psarocolius montezuma,Montezuma Oropendola,Oropéndola de Moctezuma (Oropéndola),R,
,,Cacicus uropygialis,Scarlet-rumped Cacique,"Cacique Lomiescarlata (Sargento, Plío) ",R,
,,Icterus prosthemelas,Black-cowled Oriole,"Bolsero Capuchinegro (Chorcha del Platanar, Cacique Amarillo) ",R,
,,Icterus spurius,Orchard Oriole,Bolsero Castaño (Cacique Ahumado),M,
,,Icterus chrysater,Yellow-backed Oriole,Bolsero Dorsidorado,A,
,,Icterus mesomelas,Yellow-tailed Oriole,"Bolsero Coliamarillo (Chorcha, Chiltote, Chiltotel)",R,
,,Icterus pustulatus,Streak-backed Oriole,"Bolsero Dorsilistado (Chilchote, Chilto, Chorchín, Chorcha)",R,
,,Icterus bullockii,Bullock's Oriole,Bolsero de Bullock,A,
,,Icterus pectoralis,Spot-breasted Oriole,"Bolsero Pechimanchado (Balsero, Chiltote)",R,
,,Icterus galbula,Baltimore Oriole,"Bolsero Norteño (Cacique Veranero, Cacicón, Naranjero)",M,
,,Agelaius phoeniceus,Red-winged Blackbird,Tordo Sargento (Sargento),R,
,,Molothrus bonariensis,Shiny Cowbird,Vaquero Mirlo,R,
,,Molothrus aeneus,Bronzed Cowbird,Vaquero Ojirrojo (Pius),R,
,,Molothrus oryzivorus,Giant Cowbird,Vaquero Grande,R,
,,Dives dives,Melodious Blackbird,Tordo Cantor,R,
,,Quiscalus mexicanus,Great-tailed Grackle,"Zanate Grande (Sanate, Zanate)",R,
,,Quiscalus nicaraguensis,Nicaraguan Grackle,"Zanate de Laguna (Totí, Garrapatero)",R-END,
,Parulidae (50),,,,,
,,Seiurus aurocapilla,Ovenbird,Reinita Hornera,M,
,,Helmitheros vermivorum,Worm-eating Warbler,Reinita Gusanera,M,
,,Parkesia motacilla,Louisiana Waterthrush,"Reinita Acuática Piquigrande (Menea Cola, Tordo de Agua)",M,
,,Parkesia noveboracensis,Northern Waterthrush,"Reinita Acuática Norteña (Menea Cola, Tordo de Agua)",M,
,,Vermivora chrysoptera,Golden-winged Warbler,Reinita Alidorada,M,
,,Vermivora cyanoptera,Blue-winged Warbler,Reinita Aliazul,M,
,,Mniotilta varia,Black-and-white Warbler,Reinita Trepadora (Zebrita),M,
,,Protonotaria citrea,Prothonotary Warbler,Reinita Cabecidorada,M,
,,Oreothlypis gutturalis,Flame-throated Warbler,Reinita Garganta de Fuego,R-END,
,,Leiothlypis peregrina,Tennessee Warbler,Reinita Verdilla (Cazadorcita),M,
,,Leiothlypis celata,Orange-crowned Warbler,Reinita Olivácea,M- SC,
,,Leiothlypis ruficapilla,Nashville Warbler,Reinita Cachetigrís,M,
,,Oporornis agilis,Connecticut Warbler,Reinita Ojianillada,A- SC,
,,Geothlypis poliocephala,Gray-crowned Yellowthroat,Antifacito Coronigrís,R,
,,Geothlypis tolmiei,MacGillivray's Warbler,Reinita de Tupidero,M,
,,Geothlypis philadelphia,Mourning Warbler,Reinita Enlutada,M,
,,Geothlypis formosa,Kentucky Warbler,Reinita Cachetinegra,M,
,,Geothlypis semiflava,Olive-crowned Yellowthroat,Antifacito Coroniolivo,R,
,,Geothlypis trichas,Common Yellowthroat,Antifacito Norteño,M,
,,Setophaga citrina,Hooded Warbler,Reinita Encapuchada,M,
,,Setophaga ruticilla,American Redstart,Candelita Norteña (Raya Roja),M,
,,Setophaga tigrina,Cape May Warbler,Reinita Tigrina,M,
,,Setophaga cerulea,Cerulean Warbler,Reinita Cerulea,M,
,,Setophaga americana,Northern Parula,Parula Norteña,M,
,,Setophaga pitiayumi,Tropical Parula,Parula Tropical,R,
,,Setophaga magnolia ,Magnolia Warbler,Reinita Colifajeada,M,
,,Setophaga castanea,Bay-breasted Warbler,Reinita Castaña,M,
,,Setophaga fusca,Blackburnian Warbler,Reinita Gorginaranja,M,
,,Setophaga petechia,Yellow Warbler,Reinita Amarilla (Canarita),"R, M",
,,Setophaga pensylvanica,Chestnut-sided Warbler,Reinita de Costillas Castañas,M,
,,Setophaga striata,Blackpoll Warbler,Reinita Rayada,M,
,,Setophaga caerulescens,Black-throated Blue Warbler,Reinita Azul y Negro,M,
,,Setophaga palmarum,Palm Warbler,Reinita Coronicastaña,M,
,,Setophaga pinus,Pine Warbler,Reinita de Pinos,M- SC,
,,Setophaga coronata,Yellow-rumped Warbler,Reinita Lomiamarilla,M,
,,Setophaga dominica,Yellow-throated Warbler,Reinita Gorgiamarilla,M,
,,Setophaga discolor,Prairie Warbler,Reinita Galana,M,
,,Setophaga townsendi,Townsend's Warbler,Reinita de Townsend,M,
,,Setophaga occidentalis,Hermit Warbler,Reinita Cabecigualda,M,
,,Setophaga chrysoparia ,Golden-cheeked Warbler,Reinita Caridorada ,M- SC,
,,Setophaga virens,Black-throated Green Warbler,Reinita Cariamarilla,M,
,,Basileuterus delattrii,Chestnut-capped Warbler,Reinita Cabecicastaña,R,
,,Basileuterus melanogenys,Black-cheeked Warbler,Reinita Carinegra,R-END,
,,Basileuterus culicivorus,Golden-crowned Warbler,Reinita Coronidorada,R,
,,Basileuterus melanotis,Costa Rican Warbler ,Reinita Costarricense  ,R-END,
,,Myiothlypis fulvicauda,Buff-rumped Warbler,Reinita Guardaribera (Cola Amarilla),R,
,,Cardellina canadensis,Canada Warbler,Reinita Pechirrayada,M,
,,Cardellina pusilla,Wilson's Warbler,Reinita Gorrinegra (Curruquita),M,
,,Myioborus miniatus,Slate-throated Redstart,Candelita Pechinegra (Candelita) ,R,
,,Myioborus torquatus,Collared Redstart,Candelita Collareja (Amigo de Hombre),R-END,
,Mitrospingidae (1),,,,,
,,Mitrospingus cassinii,Dusky-faced Tanager,Tangara Carinegruzca,R,
,Cardinalidae (20),,,,,
,,Piranga flava,Hepatic Tanager,Tangara Bermeja (Cardenal),R,X
,,Piranga rubra,Summer Tanager,"Tangara Veranera (Cardenal Veranero, Pan de Achiote, Sangre Toro) ",M,
,,Piranga olivacea,Scarlet Tanager,Tangara Escarlata (Cardenal Alas Negras),M,
,,Piranga ludoviciana,Western Tanager,Tangara Carirroja,M,
,,Piranga bidentata,Flame-colored Tanager,Tangara Dorsirrayado (Cardenal),R,
,,Piranga leucoptera,White-winged Tanager,Tangara Aliblanca (Cardenalito),R,
,,Habia rubica,Red-crowned Ant-Tanager,Tangara Hormiguera Coronirroja (Relicario),R,
,,Habia fuscicauda,Red-throated Ant-Tanager,Tangara Hormiguera Gorgirroja,R,
,,Habia atrimaxillaris,Black-cheeked Ant-Tanager,Tangara Hormiguera Carinegra,R-END,
,,Chlorothraupis carmioli,Carmiol's Tanager,Tangara Aceitunada,R,
,,Caryothraustes poliogaster,Black-faced Grosbeak,Picogrueso Carinegro (Sarapiqueña),R,
,,Pheucticus tibialis,Black-thighed Grosbeak,"Picogrueso Vientriamarillo (Chorcho, Maizero, Chiltote)",R-END,
,,Pheucticus ludovicianus,Rose-breasted Grosbeak,Picogrueso Pechirrosado (Calandria),M,
,,Pheucticus melanocephalus,Black-headed Grosbeak,Picogrueso Cabecinegro,A- SC,
,,Amaurospiza concolor,Blue Seedeater,Semillero Azulado,R,
,,Cyanoloxia cyanoides,Blue-black Grosbeak,Picogrueso Negro Azulado,R,
,,Passerina caerulea,Blue Grosbeak,Picogrueso Azul (Alondra),"R, M",
,,Passerina cyanea,Indigo Bunting,Azulillo Norteño (Indris),M,
,,Passerina ciris,Painted Bunting,"Azulillo Sietecolores (Arcoiris, Siete Colores)",M,
,,Spiza americana,Dickcissel,"Sabanero Arrocero (Arrocero, Pius)",M,
,Thraupidae (51),,,,,
,,Eucometis  penicillata,Gray-headed Tanager,Tangara Cabecigrís,R,
,,Loriotus luctuosus,White-shouldered Tanager,Tangara Caponiblanca,R,
,,Tachyphonus delatrii,Tawny-crested Tanager,Tangara Coronidorada,R,
,,Tachyphonus rufus,White-lined Tanager,Tangara Forriblanca (Fraile),R,
,,Lanio leucothorax,White-throated Shrike-Tanager,Tangara Piquiganchuda,R-END,
,,Ramphocelus sanguinolentus,Crimson-collared Tanager,"Tangara Capuchirroja (Rey de Sargento, Sangre de Toro)",R,
,,Ramphocelus flammigerus,Flame-rumped Tanager,Tangara Flamígera,A?,
,,Ramphocelus passerinii,Scarlet-rumped Tanager,"Tangara de Passerini (Sargento, Rabadilla Tinta, Terciopelo, Sangre de Toro)",R,
,,Ramphocelus dimidiatus,Crimson-backed Tanager,Tangara Dorsirrojo,A?,
,,Bangsia arcaei,Blue-and-gold Tanager,Tangara de Costillas Negras (Agüión),R-END,
,,Thraupis episcopus,Blue-gray Tanager,"Tangara Azuleja (Viudita, Viuda) ",R,
,,Thraupis abbas,Yellow-winged Tanager,Tangara Aliamarilla,R?,
,,Thraupis palmarum,Palm Tanager,Tangara Palmera (Viudita de la Costa),R,
,,Ixothraupis guttata,Speckled Tanager,Tangara Moteada (Cebra),R,
,,Stilpnia larvata,Golden-hooded Tanager,"Tangara Capuchidorada (Juana, Mariposa, Siete Colores)",R,
,,Tangara dowii,Spangle-cheeked Tanager,Tangara Vientricastaña (Mariposa de Clima Frío),R-END,
,,Tangara inornata,Plain-colored Tanager,Tangara Cenicienta,R-END,
,,Tangara lavinia,Rufous-winged Tanager,Tangara Alirrufa,R,
,,Tangara gyrola,Bay-headed Tanager,Tangara Cabecicastaña (Pavito),R,
,,Tangara florida,Emerald Tanager,Tangara Orejinegra,R,
,,Tangara icterocephala,Silver-throated Tanager,"Tangara Dorada (Rayo de Sol, Chia, Juanita)",R,
,,Dacnis venusta,Scarlet-thighed Dacnis,Mielero Celeste y Negro (Calzones Rojos),R,
,,Dacnis cayana,Blue Dacnis,Mielero Azulejo (Rey de Viuda),R,
,,Cyanerpes lucidus,Shining Honeycreeper,Mielero Luciente (Picudo Patiamarillo),R,
,,Cyanerpes cyaneus,Red-legged Honeycreeper,"Mielero Patirrojo (Picudo, Mielero, Tucuso, Trepador)",R,
,,Chlorophanes spiza,Green Honeycreeper,"Mielero Verde (Rey de Mar, Verde Mar, Rey de Trepadores)",R,
,,Heterospingus rubrifrons,Sulphur-rumped Tanager,Tangara Lomiazufrada,R-END,
,,Chrysothlypis chrysomelas,Black-and-yellow Tanager,Tangara Negro y Dorado,R-END,
,,Diglossa plumbea,Slaty Flowerpiercer,Pinchaflor Plomizo,R-END,
,,Haplospiza rustica,Slaty Finch,Fringilo Plomizo (Semillero),R,
,,Acanthidops bairdi,Peg-billed Finch,Fringilo Piquiagudo (Semillero),R-END,
,,Sicalis luteola,Grassland Yellow-Finch,Chirigue Sabanero,A ,
,,Emberizoides herbicola,Wedge-tailed Grass-Finch,Sabanero Coludo (Chicharrón),R,
,,Volatinia jacarina,Blue-black Grassquit,"Semillerito Negro Azulado (Brea, Pius, Piusillo Negro, Saltapalito)",R,
,,Sporophila bouvronides,Lesson's Seedeater,Espiguero de Lesson,A,
,,Sporophila lineola,Lined Seedeater,Espiguero Bigotudo (Setillero),A,
,,Sporophila minuta,Ruddy-breasted Seedeater,Espiguero Menudo (Setillero Ladrillo),R,
,,Sporophila funerea,Thick-billed Seed-Finch,Semillero Picogrueso,R,
,,Sporophila nuttingi,Nicaraguan Seed-Finch,Semillero Piquirrosado,R-END,
,,Sporophila corvina,Variable Seedeater,"Espiguero Variable (Setillero Collarejo, Monjito, Arrocerito)",R,
,,Sporophila morelleti,Morelet's Seedeater,Espiguero Collarejo (Setillero Collarejo),R,
,,Sporophila nigricollis,Yellow-bellied Seedeater,Espiguero Vientriamarillo (Setillero Panameño),R,
,,Sporophila schistacea,Slate-colored Seedeater,Espiguero Pizarroso (Setillero),R,
,,Coereba flaveola,Bananaquit,"Reinita Mielera (Pincha Flor, Santa Marta)",R,
,,Tiaris olivaceus,Yellow-faced Grassquit,Semillerito Cariamarillo (Gallito),R,
,,Pinaroloxias inornata,Cocos Finch,Pinzón de la Isla del Coco,R-END,
,,Saltator maximus,Buff-throated Saltator,"Saltator Gorgianteado (Chayotero, Chojui, Comepuntas, Sinsonte Verde)",R,
,,Saltator atriceps,Black-headed Saltator,Saltator Cabecinegro (Chayotero),R,
,,Saltator grandis,Cinnamon-bellied Saltator,"Saltator Grisáceo (Comepuntas, Come Chayote, Sensontle, Sinsonte)",R,
,,Saltator striatipectus,Streaked Saltator,Saltator Listado,R,
,,Saltator grossus,Slate-colored Grosbeak,Picogrueso Piquirrojo,R,