Orden,Familia,Taxa,Ingles,Espanol_CR,Estatus,Species
,,Elaenia frantzii,Mountain Elaenia,"Elainia Montañera (Tontillo, Bobillo)",R,Mountain Elaenia
,,Attila spadiceus,Bright-rumped Attila,Atila Lomiamarilla,R,Bright-rumped Attila
,,Rhytipterna holerythra,Rufous Mourner,Plañidera Rojiza,R,Rufous Mourner
,,Myiarchus tuberculifer,Dusky-capped Flycatcher,Copetón Crestioscuro (Tontillo),R,Dusky-capped Flycatcher
,,Myiarchus nuttingi,Nutting's Flycatcher,Copetón de Nutting (Tontillo),R,Nutting's Flycatcher
,,Myiarchus crinitus,Great Crested Flycatcher,Copetón Viajero (Tontillo),M,Great Crested Flycatcher
,,Myiarchus tyrannulus,Brown-crested Flycatcher,Copetón Crestipardo (Tontillo),R,Brown-crested Flycatcher
,,Pitangus sulphuratus,Great Kiskadee,"Bienteveo Grande (Cristo Fue, Pecho Amarillo)",R,Great Kiskadee
,,Megarynchus pitangua,Boat-billed Flycatcher,Mosquerón Picudo (Pecho Amarillo),R,Boat-billed Flycatcher
,,Myiozetetes similis,Social Flycatcher,Mosquero Cejiblanco (Pecho Amarillo),R,Social Flycatcher
,,Myiozetetes granadensis,Gray-capped Flycatcher,Mosquero Cabecigrís (Pecho Amarillo),R,Gray-capped Flycatcher
,,Conopias albovittatus,White-ringed Flycatcher,Mosquero Cabecianillado (Pecho Amarillo),R,White-ringed Flycatcher
,,Myiodynastes maculatus,Streaked Flycatcher,Mosquero Listado (Pecho Amarillo),"R, RR, M",Streaked Flycatcher
,,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,Mosquero Vientriazufrado (Pecho Amarillo),"RR, M",Sulphur-bellied Flycatcher
,,Tyrannus melancholicus,Tropical Kingbird,Tirano Tropical (Pecho Amarillo),R,Tropical Kingbird
,,Tyrannus verticalis,Western Kingbird,Tirano Occidental (Pecho Amarillo),M,Western Kingbird
,,Tyrannus forficatus,Scissor-tailed Flycatcher,Tijereta Rosada (Tijerilla),M,Scissor-tailed Flycatcher
,,Contopus cooperi,Olive-sided Flycatcher,Pibí Boreal (Tontillo),M,Olive-sided Flycatcher
,,Contopus sordidulus,Western Wood-Pewee,"Pibí Occidental (Tontillo, Piguí)","M, R?",Western Wood-Pewee
,,Contopus virens,Eastern Wood-Pewee,"Pibí Oriental (Tontillo, Piguí)",M,Eastern Wood-Pewee
,,Contopus cinereus,Tropical Pewee,"Pibí Tropical (Tontillo, Piguí)",R,Tropical Pewee
,,Empidonax flaviventris,Yellow-bellied Flycatcher,Mosquerito Vientriamarillo,M,Yellow-bellied Flycatcher
,,Empidonax traillii,Willow Flycatcher,Mosquerito de Traill,M,Willow Flycatcher
,,Empidonax minimus,Least Flycatcher,Mosquerito Chebec,M,Least Flycatcher
,,Empidonax flavescens,Yellowish Flycatcher,Mosquerito Amarillento,R,Yellowish Flycatcher
,,Sayornis nigricans,Black Phoebe,Mosquero de Agua,R,Black Phoebe
,,Colonia colonus,Long-tailed Tyrant,Mosquero Coludo,R,Long-tailed Tyrant
,Thamnophilidae,,,,,
,,Cymbilaimus lineatus,Fasciated Antshrike,Batará Lineado,R,Fasciated Antshrike
,,Thamnophilus doliatus,Barred Antshrike,Batará Barreteado,R,Barred Antshrike
,,Thamnophilus atrinucha,Black-crowned Antshrike,Batará Plomizo,R,Black-crowned Antshrike
,,Dysithamnus mentalis,Plain Antvireo,Batarito Cabecigrís,R,Plain Antvireo
,,Dysithamnus striaticeps,Streak-crowned Antvireo,Batarito Pechirrayado,R-END,Streak-crowned Antvireo
,,Myrmotherula axillaris,White-flanked Antwren,Hormiguerito Flanquiblanco,R,White-flanked Antwren
,,Myrmotherula schisticolor,Slaty Antwren,Hormiguerito Pizarroso,R,Slaty Antwren
,,Cercomacroides tyrannina,Dusky Antbird,Hormiguero Negruzco,R,Dusky Antbird
,,Gymnocichla nudiceps,Bare-crowned Antbird,Hormiguero Calvo,R,Bare-crowned Antbird
,,Poliocrania exsul,Chestnut-backed Antbird,Hormiguero Dorsicastaño,R,Chestnut-backed Antbird
,,Sipia laemosticta,Dull-mantled Antbird,Hormiguero Alimaculado,R,Dull-mantled Antbird
,,Hafferia zeledoni,Zeledon's Antbird,Hormiguero de Zeledón,R,Zeledon's Antbird
,,Hylophylax naevioides,Spotted Antbird,Hormiguero Moteado,R,Spotted Antbird
,,Gymnopithys bicolor,Bicolored Antbird,Hormiguero Bicolor,R,Bicolored Antbird
,,Phaenostictus mcleannani,Ocellated Antbird,Hormiguero Ocelado,R,Ocellated Antbird
,Grallariidae,,,,,
,,Grallaria guatimalensis,Scaled Antpitta,Tororoi Dorsiescamado (Hormiguero),R,Scaled Antpitta
,,Hylopezus dives,Thicket Antpitta,Tororoi Pechicanelo (Hormiguero),R-END,Thicket Antpitta
,Formicariidae,,,,,
,,Formicarius analis,Black-faced Antthrush,Gallito Hormiguero Carinegro,R,Black-faced Antthrush
,Furnariidae,,,,,
,,Sclerurus albigularis,Gray-throated Leaftosser,Tirahojas Gargantigrís,R,Gray-throated Leaftosser
,,Sittasomus griseicapillus,Olivaceous Woodcreeper,Trepadorcito Aceitunado,R,Olivaceous Woodcreeper
,,Deconychura longicauda,Long-tailed Woodcreeper,Trepador Delgado,R,Long-tailed Woodcreeper
,,Dendrocincla homochroa,Ruddy Woodcreeper,Trepador Rojizo,R,Ruddy Woodcreeper
,,Dendrocincla fuliginosa,Plain-brown Woodcreeper,Trepador Pardo,R,Plain-brown Woodcreeper
,,Glyphorynchus spirurus,Wedge-billed Woodcreeper,Trepadorcito Pico de Cuña,R,Wedge-billed Woodcreeper
,,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,Trepador Barreteado,R,Northern Barred-Woodcreeper
,,Xiphorhynchus susurrans,Cocoa Woodcreeper,Trepador Gorgianteado,R,Cocoa Woodcreeper
,,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,Trepador Piquiclaro,R,Ivory-billed Woodcreeper
,,Xiphorhynchus lachrymosus,Black-striped Woodcreeper,Trepador Pinto (Relinchero),R,Black-striped Woodcreeper
,,Xiphorhynchus erythropygius,Spotted Woodcreeper,Trepador Manchado,R,Spotted Woodcreeper
,,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,Trepador Cabecirrayado,R,Streak-headed Woodcreeper
,,Xenops minutus,Plain Xenops,Xenops Común,R,Plain Xenops
,,Premnoplex brunnescens,Spotted Barbtail,Subepalo Moteado,R,Spotted Barbtail
,,Synallaxis brachyura,Slaty Spinetail,Arquitecto Plomizo,R,Slaty Spinetail
,Vireonidae,,,,,
,,Cyclarhis gujanensis,Rufous-browed Peppershrike,Vireón Cejirrufo,R,Rufous-browed Peppershrike
,,Vireolanius pulchellus,Green Shrike-Vireo,Vireón Esmeraldino,R,Green Shrike-Vireo
,,Tunchiornis ochraceiceps,Tawny-crowned Greenlet,Verdillo Leonado,R,Tawny-crowned Greenlet
,,Pachysylvia decurtatus,Lesser Greenlet,Verdillo Menudo,R,Lesser Greenlet
,,Vireo flavifrons,Yellow-throated Vireo,Vireo Pechiamarillo,M,Yellow-throated Vireo
,,Vireo solitarius,Blue-headed Vireo,Vireo Solitario,M,Blue-headed Vireo
,,Vireo philadelphicus,Philadelphia Vireo,Vireo Amarillento,M,Philadelphia Vireo
,,Vireo olivaceus,Red-eyed Vireo,Vireo Ojirrojo (Chiguisa),M,Red-eyed Vireo
,,Vireo flavoviridis,Yellow-green Vireo,"Vireo Cabecigrís (Chiguisa, Chuesa, Cazadora, Fraile)","RR, M",Yellow-green Vireo
,Corvidae,,,,,
,,Cyanolyca cucullata,Azure-hooded Jay,Urraca de Toca Celeste (Piapia de Montaña),R,Azure-hooded Jay
,,Calocitta formosa,White-throated Magpie-Jay,"Urraca Copetona (Urraca, Piapia Azul)",R,White-throated Magpie-Jay
,,Psilorhinus morio,Brown Jay,Urraca Parda (Piapia),R,Brown Jay
,Hirundinidae,,,,,
,,Riparia riparia,Bank Swallow,Golondrina Ribereña,M,Bank Swallow
,,Tachycineta albilinea,Mangrove Swallow,Golondrina Lomiblanca,R,Mangrove Swallow
,,Pygochelidon cyanoleuca,Blue-and-white Swallow,Golondrina Azul y Blanco,"R, M",Blue-and-white Swallow
,,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Golondrina Alirrasposa Norteña,"R, M",Northern Rough-winged Swallow
,,Stelgidopteryx ruficollis,Southern Rough-winged Swallow,Golondrina Alirrasposa Sureña,R,Southern Rough-winged Swallow
,,Progne chalybea,Gray-breasted Martin,Martín Pechigrís,R,Gray-breasted Martin
,,Hirundo rustica,Barn Swallow,Golondrina Tijereta,M,Barn Swallow
,Ptiliogonatidae,,,,,
,,Phainoptila melanoxantha,Black-and-yellow Silky-flycatcher,Capulinero Negro y Amarillo (Comemoras),R-END,Black-and-yellow Silky-flycatcher
,Polioptilidae,,,,,
,,Ramphocaenus melanurus,Long-billed Gnatwren,Soterillo Picudo,R,Long-billed Gnatwren
,,Microbates cinereiventris,Tawny-faced Gnatwren,Soterillo Caricafé,R,Tawny-faced Gnatwren
,,Polioptila albiloris,White-lored Gnatcatcher,"Perlita Cabecinegra (Espatulilla, Cazadora)",R,White-lored Gnatcatcher
,Troglodytidae,,,,,
,,Microcerculus philomela,Nightingale Wren,Soterrey Ruiseñor,R,Nightingale Wren
,,Pheugopedius atrogularis,Black-throated Wren,Soterrey Gorginegro,R-END,Black-throated Wren
,,Pheugopedius maculipectus,Spot-breasted Wren,Soterrey Pechimoteado,R,Spot-breasted Wren
,,Cantorchilus thoracicus,Stripe-breasted Wren,Soterrey Pechirrayado,R-END,Stripe-breasted Wren
,,Cantorchilus nigricapillus,Bay Wren,Soterrey Castaño,R,Bay Wren
,,Henicorhina leucosticta,White-breasted Wood-Wren,Soterrey de Selva Pechiblanco,R,White-breasted Wood-Wren
,,Henicorhina leucophrys,Gray-breasted Wood-Wren,Soterrey de Selva Pechigrís,R,Gray-breasted Wood-Wren
,,Cyphorhinus phaeocephalus,Song Wren,Soterrey Canoro,R,Song Wren
,,Thryophilus pleurostictus,Banded Wren,Soterrey de Costillas Barreteadas,R,Banded Wren
,,Campylorhynchus zonatus,Band-backed Wren,Soterrey Matraquero,R,Band-backed Wren
,,Campylorhynchus rufinucha,Rufous-naped Wren,"Soterrey Nuquirrufo (Chico Piojo, Botijón, Salta Piñuela)",R,Rufous-naped Wren
,,Troglodytes aedon,House Wren,"Soterrey Cucarachero (Soterrey, Soterré)",R,House Wren
,Mimidae,,,,,
,,Dumetella carolinensis,Gray Catbird,Pájaro-gato Gris,M,Gray Catbird
,,Mimus gilvus,Tropical Mockingbird,Pájaro-imitador Tropical,R,Tropical Mockingbird
,Turdidae,,,,,
,,Myadestes melanops,Black-faced Solitaire,Solitario Carinegro (Jilguero),R-END,Black-faced Solitaire
,,Catharus mexicanus,Black-headed Nightingale-Thrush,Zorzal Cabecinegro,R,Black-headed Nightingale-Thrush
,,Catharus ustulatus,Swainson's Thrush,Zorzal de Swainson (Conchita),M,Swainson's Thrush
,,Hylocichla mustelina,Wood Thrush,Zorzal del Bosque,M,Wood Thrush
,,Turdus plebejus,Mountain Thrush,Mirlo Montañero (Yigüirro de Montaña),R,Mountain Thrush
,,Turdus grayi,Clay-colored Thrush,Mirlo Pardo (Yigüirro),R,Clay-colored Thrush
,,Turdus assimilis,White-throated Thrush,"Mirlo Gorgiblanco (Yigüirro Collarejo, Yigüirro de Montaña)",R,White-throated Thrush
,Estrildidae,,,,,
,,Lonchura malacca,Tricolored Munia,Monjita Tricolor,R,Tricolored Munia
,Fringillidae,,,,,
,,Chlorophonia elegantissima,Elegant Euphonia,"Clorofonia Capuchiceleste (Agüío, Monjita, Caciquita)",R,Elegant Euphonia
,,Euphonia affinis,Scrub Euphonia,"Eufonia Gargantinegra (Finito, Agüío, Monjita Fina)",R,Scrub Euphonia
,,Euphonia luteicapilla,Yellow-crowned Euphonia,"Eufonia Coroniamarilla (Monjita, Agüío)",R-END,Yellow-crowned Euphonia
,,Euphonia minuta,White-vented Euphonia,"Eufonia Menuda (Finito Canario, Canarito, Canaria, Agüio)",R,White-vented Euphonia
,,Euphonia hirundinacea,Yellow-throated Euphonia,"Eufonia Gorgiamarilla (Agüío, Caciquita)",R,Yellow-throated Euphonia
,,Euphonia gouldi,Olive-backed Euphonia,"Eufonia Olivácea (Agüío, Barranquillo, Culo Rojo, Güere)",R,Olive-backed Euphonia
,,Euphonia anneae,Tawny-capped Euphonia,"Eufonia Gorricanela (Agüío, Barranquilla)",R-END,Tawny-capped Euphonia
,Passerellidae,,,,,
,,Chlorospingus flavopectus,Common Chlorospingus,Tangara de Monte Ojeruda (Cuatro Ojos),R,Common Chlorospingus
,,Peucaea ruficauda,Stripe-headed Sparrow,"Sabanero Cabecilistado (Pájaro Chicle, Albarda Nueva, Ratoncillo)",R,Stripe-headed Sparrow
,,Arremonops rufivirgatus,Olive Sparrow,Pinzón Aceitunado (Timbón),R,Olive Sparrow
,,Arremonops conirostris,Black-striped Sparrow,"Pinzón  Cabecilistado (Purisquero, Pájaro Suzuki)",R,Black-striped Sparrow
,,Arremon aurantiirostris,Orange-billed Sparrow,"Pinzón Piquinaranja (Pico Chile, Pico Rojo, Pico de Oro)",R,Orange-billed Sparrow
,,Arremon brunneinucha,Chestnut-capped Brushfinch,Saltón Cabecicastaño,R,Chestnut-capped Brushfinch
,Icteridae,,,,,
,,Sturnella magna,Eastern Meadowlark,"Zacatero Común (Zacatera, Carmelo)",R,Eastern Meadowlark
,,Leistes militaris,Red-breasted Meadowlark,Tordo Pechirrojo,R,Red-breasted Meadowlark
,,Amblycercus holosericeus,Yellow-billed Cacique,Cacique Picoplata (Pico de Plata),R,Yellow-billed Cacique
,,Psarocolius wagleri,Chestnut-headed Oropendola,"Oropéndola Cabecicastaña (Oropéndola, Oropel, Guacalillo)",R,Chestnut-headed Oropendola
,,Psarocolius montezuma,Montezuma Oropendola,Oropéndola de Moctezuma (Oropéndola),R,Montezuma Oropendola
,,Cacicus uropygialis,Scarlet-rumped Cacique,"Cacique Lomiescarlata (Sargento, Plío)",R,Scarlet-rumped Cacique
,,Icterus prosthemelas,Black-cowled Oriole,"Bolsero Capuchinegro (Chorcha del Platanar, Cacique Amarillo)",R,Black-cowled Oriole
,,Icterus spurius,Orchard Oriole,Bolsero Castaño (Cacique Ahumado),M,Orchard Oriole
,,Icterus mesomelas,Yellow-tailed Oriole,"Bolsero Coliamarillo (Chorcha, Chiltote, Chiltotel)",R,Yellow-tailed Oriole
,,Icterus galbula,Baltimore Oriole,"Bolsero Norteño (Cacique Veranero, Cacicón, Naranjero)",M,Baltimore Oriole
,,Molothrus aeneus,Bronzed Cowbird,Vaquero Ojirrojo (Pius),R,Bronzed Cowbird
,,Dives dives,Melodious Blackbird,Tordo Cantor,R,Melodious Blackbird
,,Quiscalus mexicanus,Great-tailed Grackle,"Zanate Grande (Sanate, Zanate)",R,Great-tailed Grackle
,,Quiscalus nicaraguensis,Nicaraguan Grackle,"Zanate de Laguna (Totí, Garrapatero)",R-END,Nicaraguan Grackle
,Parulidae,,,,,
,,Seiurus aurocapilla,Ovenbird,Reinita Hornera,M,Ovenbird
,,Parkesia motacilla,Louisiana Waterthrush,"Reinita Acuática Piquigrande (Menea Cola, Tordo de Agua)",M,Louisiana Waterthrush
,,Parkesia noveboracensis,Northern Waterthrush,"Reinita Acuática Norteña (Menea Cola, Tordo de Agua)",M,Northern Waterthrush
,,Vermivora chrysoptera,Golden-winged Warbler,Reinita Alidorada,M,Golden-winged Warbler
,,Mniotilta varia,Black-and-white Warbler,Reinita Trepadora (Zebrita),M,Black-and-white Warbler
,,Protonotaria citrea,Prothonotary Warbler,Reinita Cabecidorada,M,Prothonotary Warbler
,,Leiothlypis peregrina,Tennessee Warbler,Reinita Verdilla (Cazadorcita),M,Tennessee Warbler
,,Geothlypis poliocephala,Gray-crowned Yellowthroat,Antifacito Coronigrís,R,Gray-crowned Yellowthroat
,,Geothlypis philadelphia,Mourning Warbler,Reinita Enlutada,M,Mourning Warbler
,,Geothlypis formosa,Kentucky Warbler,Reinita Cachetinegra,M,Kentucky Warbler
,,Geothlypis semiflava,Olive-crowned Yellowthroat,Antifacito Coroniolivo,R,Olive-crowned Yellowthroat
,,Geothlypis trichas,Common Yellowthroat,Antifacito Norteño,M,Common Yellowthroat
,,Setophaga ruticilla,American Redstart,Candelita Norteña (Raya Roja),M,American Redstart
,,Setophaga americana,Northern Parula,Parula Norteña,M,Northern Parula
,,Setophaga pitiayumi,Tropical Parula,Parula Tropical,R,Tropical Parula
,,Setophaga castanea,Bay-breasted Warbler,Reinita Castaña,M,Bay-breasted Warbler
,,Setophaga petechia,Yellow Warbler,Reinita Amarilla (Canarita),"R, M",Yellow Warbler
,,Setophaga pensylvanica,Chestnut-sided Warbler,Reinita de Costillas Castañas,M,Chestnut-sided Warbler
,,Setophaga striata,Blackpoll Warbler,Reinita Rayada,M,Blackpoll Warbler
,,Setophaga dominica,Yellow-throated Warbler,Reinita Gorgiamarilla,M,Yellow-throated Warbler
,,Setophaga virens,Black-throated Green Warbler,Reinita Cariamarilla,M,Black-throated Green Warbler
,,Myiothlypis fulvicauda,Buff-rumped Warbler,Reinita Guardaribera (Cola Amarilla),R,Buff-rumped Warbler
,,Basileuterus culicivorus,Golden-crowned Warbler,Reinita Coronidorada,R,Golden-crowned Warbler
,,Cardellina pusilla,Wilson's Warbler,Reinita Gorrinegra (Curruquita),M,Wilson's Warbler
,,Myioborus miniatus,Slate-throated Redstart,Candelita Pechinegra (Candelita),R,Slate-throated Redstart
,Cardinalidae,,,,,
,,Piranga flava,Hepatic Tanager,Tangara Bermeja (Cardenal),R,Hepatic Tanager
,,Piranga rubra,Summer Tanager,"Tangara Veranera (Cardenal Veranero, Pan de Achiote, Sangre Toro)",M,Summer Tanager
,,Piranga olivacea,Scarlet Tanager,Tangara Escarlata (Cardenal Alas Negras),M,Scarlet Tanager
,,Piranga ludoviciana,Western Tanager,Tangara Carirroja,M,Western Tanager
,,Habia rubica,Red-crowned Ant-Tanager,Tangara Hormiguera Coronirroja (Relicario),R,Red-crowned Ant-Tanager
,,Habia fuscicauda,Red-throated Ant-Tanager,Tangara Hormiguera Gorgirroja,R,Red-throated Ant-Tanager
,,Chlorothraupis carmioli,Carmiol's Tanager,Tangara Aceitunada,R,Carmiol's Tanager
,,Caryothraustes poliogaster,Black-faced Grosbeak,Picogrueso Carinegro (Sarapiqueña),R,Black-faced Grosbeak
,,Pheucticus ludovicianus,Rose-breasted Grosbeak,Picogrueso Pechirrosado (Calandria),M,Rose-breasted Grosbeak
,,Amaurospiza concolor,Blue Seedeater,Semillero Azulado,R,Blue Seedeater
,,Cyanoloxia cyanoides,Blue-black Grosbeak,Picogrueso Negro Azulado,R,Blue-black Grosbeak
,,Passerina cyanea,Indigo Bunting,Azulillo Norteño (Indris),M,Indigo Bunting
,Mitrospingidae,,,,,
,,Mitrospingus cassinii,Dusky-faced Tanager,Tangara Carinegruzca,R,Dusky-faced Tanager
,Thraupidae,,,,,
,,Thraupis episcopus,Blue-gray Tanager,"Tangara Azuleja (Viudita, Viuda)",R,Blue-gray Tanager
,,Thraupis palmarum,Palm Tanager,Tangara Palmera (Viudita de la Costa),R,Palm Tanager
,,Stilpnia larvata,Golden-hooded Tanager,"Tangara Capuchidorada (Juana, Mariposa, Siete Colores)",R,Golden-hooded Tanager
,,Tangara lavinia,Rufous-winged Tanager,Tangara Alirrufa,R,Rufous-winged Tanager
,,Tangara gyrola,Bay-headed Tanager,Tangara Cabecicastaña (Pavito),R,Bay-headed Tanager
,,Tangara icterocephala,Silver-throated Tanager,"Tangara Dorada (Rayo de Sol, Chia, Juanita)",R,Silver-throated Tanager
,,Chlorophanes spiza,Green Honeycreeper,"Mielero Verde (Rey de Mar, Verde Mar, Rey de Trepadores)",R,Green Honeycreeper
,,Chrysothlypis chrysomelas,Black-and-yellow Tanager,Tangara Negro y Dorado,R-END,Black-and-yellow Tanager
,,Volatinia jacarina,Blue-black Grassquit,"Semillerito Negro Azulado (Brea, Pius, Piusillo Negro, Saltapalito)",R,Blue-black Grassquit
,,Eucometis  penicillata,Gray-headed Tanager,Tangara Cabecigrís,R,Gray-headed Tanager
,,Loriotus luctuosus,White-shouldered Tanager,Tangara Caponiblanca,R,White-shouldered Tanager
,,Tachyphonus delatrii,Tawny-crested Tanager,Tangara Coronidorada,R,Tawny-crested Tanager
,,Tachyphonus rufus,White-lined Tanager,Tangara Forriblanca (Fraile),R,White-lined Tanager
,,Lanio leucothorax,White-throated Shrike-Tanager,Tangara Piquiganchuda,R-END,White-throated Shrike-Tanager
,,Ramphocelus sanguinolentus,Crimson-collared Tanager,"Tangara Capuchirroja (Rey de Sargento, Sangre de Toro)",R,Crimson-collared Tanager
,,Cyanerpes lucidus,Shining Honeycreeper,Mielero Luciente (Picudo Patiamarillo),R,Shining Honeycreeper
,,Cyanerpes cyaneus,Red-legged Honeycreeper,"Mielero Patirrojo (Picudo, Mielero, Tucuso, Trepador)",R,Red-legged Honeycreeper
,,Dacnis venusta,Scarlet-thighed Dacnis,Mielero Celeste y Negro (Calzones Rojos),R,Scarlet-thighed Dacnis
,,Dacnis cayana,Blue Dacnis,Mielero Azulejo (Rey de Viuda),R,Blue Dacnis
,,Coereba flaveola,Bananaquit,"Reinita Mielera (Pincha Flor, Santa Marta)",R,Bananaquit
,,Tiaris olivaceus,Yellow-faced Grassquit,Semillerito Cariamarillo (Gallito),R,Yellow-faced Grassquit
,,Sporophila funerea,Thick-billed Seed-Finch,Semillero Picogrueso,R,Thick-billed Seed-Finch
,,Sporophila nuttingi,Nicaraguan Seed-Finch,Semillero Piquirrosado,R-END,Nicaraguan Seed-Finch
,,Sporophila corvina,Variable Seedeater,"Espiguero Variable (Setillero Collarejo, Monjito, Arrocerito)",R,Variable Seedeater
,,Sporophila schistacea,Slate-colored Seedeater,Espiguero Pizarroso (Setillero),R,Slate-colored Seedeater
,,Saltator atriceps,Black-headed Saltator,Saltator Cabecinegro (Chayotero),R,Black-headed Saltator
,,Saltator maximus,Buff-throated Saltator,"Saltator Gorgianteado (Chayotero, Chojui, Comepuntas, Sinsonte Verde)",R,Buff-throated Saltator
